timestamp,dx_rel,dy_rel,ear_left,ear_right,blink_l,blink_r,dist_cm,brightness,label
2025-12-12T16:42:36.502404,-0.0052,-0.0334,0.4311,0.4514,0,0,46.0,116,CENTER
2025-12-12T16:42:36.572981,0.0008,-0.0257,0.4351,0.4571,0,0,46.3,116,CENTER
2025-12-12T16:42:36.669703,0.0031,-0.0260,0.4322,0.4525,0,0,45.9,116,CENTER
2025-12-12T16:42:36.765635,-0.0030,-0.0288,0.4356,0.4659,0,0,46.2,116,CENTER
2025-12-12T16:42:36.828431,0.0037,-0.0302,0.4293,0.4771,0,0,46.0,116,CENTER
2025-12-12T16:42:36.939599,0.0108,-0.0292,0.4295,0.4881,0,0,46.0,116,CENTER
2025-12-12T16:42:37.006069,0.0080,-0.0303,0.4371,0.4861,0,0,46.5,116,CENTER
2025-12-12T16:42:37.103883,0.0055,-0.0354,0.4362,0.4911,0,0,46.4,116,CENTER
2025-12-12T16:42:37.199708,0.0062,-0.0311,0.4355,0.4779,0,0,46.5,116,CENTER
2025-12-12T16:42:37.259967,0.0060,-0.0259,0.4343,0.4676,0,0,46.2,116,CENTER
2025-12-12T16:42:37.370348,0.0087,-0.0288,0.4368,0.4703,0,0,46.4,116,CENTER
2025-12-12T16:42:37.433199,0.0128,-0.0256,0.4356,0.4739,0,0,46.3,116,CENTER
2025-12-12T16:42:37.528963,0.0035,-0.0258,0.4344,0.4682,0,0,46.3,116,CENTER
2025-12-12T16:42:37.637924,0.0167,-0.0226,0.4321,0.4779,0,0,46.1,116,CENTER
2025-12-12T16:42:37.695939,0.0185,-0.0240,0.4328,0.4738,0,0,45.8,116,CENTER
2025-12-12T16:42:37.801011,0.0128,-0.0245,0.4290,0.4663,0,0,46.3,116,CENTER
2025-12-12T16:42:37.880011,0.0106,-0.0210,0.4307,0.4603,0,0,46.3,116,CENTER
2025-12-12T16:42:37.974220,0.0060,-0.0252,0.4328,0.4547,0,0,46.2,116,CENTER
2025-12-12T16:42:38.064397,0.0139,-0.0274,0.4327,0.4637,0,0,46.0,116,CENTER
2025-12-12T16:42:38.132309,0.0180,-0.0257,0.4349,0.4637,0,0,45.9,116,CENTER
2025-12-12T16:42:38.240775,0.0185,-0.0272,0.4355,0.4753,0,0,46.2,116,CENTER
2025-12-12T16:42:38.298049,0.0226,-0.0268,0.4343,0.4731,0,0,46.0,116,CENTER
2025-12-12T16:42:38.405196,0.0276,-0.0311,0.4374,0.4792,0,0,45.5,116,CENTER
2025-12-12T16:42:38.500005,0.0258,-0.0301,0.4350,0.4890,0,0,45.5,116,CENTER
2025-12-12T16:42:38.559897,0.0195,-0.0257,0.4358,0.4825,0,0,45.5,116,CENTER
2025-12-12T16:42:38.668840,0.0187,-0.0261,0.4383,0.4828,0,0,45.4,116,CENTER
2025-12-12T16:42:38.732853,0.0193,-0.0197,0.4406,0.4757,0,0,44.8,116,CENTER
2025-12-12T16:42:38.841298,0.0203,-0.0170,0.4397,0.4738,0,0,45.0,116,CENTER
2025-12-12T16:42:38.932777,0.0183,-0.0132,0.4372,0.4776,0,0,44.8,116,CENTER
2025-12-12T16:42:38.998096,0.0218,-0.0153,0.4376,0.4921,0,0,45.3,116,CENTER
2025-12-12T16:42:39.101683,0.0170,-0.0167,0.4354,0.4757,0,0,44.5,116,CENTER
2025-12-12T16:42:39.163288,0.0225,-0.0219,0.4367,0.4997,0,0,45.4,116,CENTER
2025-12-12T16:42:39.260476,0.0267,-0.0222,0.4370,0.4816,0,0,45.0,116,CENTER
2025-12-12T16:42:39.353361,0.0226,-0.0201,0.4371,0.4849,0,0,45.1,116,CENTER
2025-12-12T16:42:39.442627,0.0243,-0.0202,0.4391,0.4866,0,0,45.5,116,CENTER
2025-12-12T16:42:39.521428,0.0198,-0.0203,0.4358,0.4834,0,0,45.3,116,CENTER
2025-12-12T16:42:39.611181,0.0127,-0.0165,0.4284,0.4713,0,0,45.1,116,CENTER
2025-12-12T16:42:39.696183,0.0146,-0.0150,0.4300,0.4737,0,0,45.1,116,CENTER
2025-12-12T16:42:39.796126,0.0151,-0.0153,0.4380,0.4684,0,0,44.7,116,CENTER
2025-12-12T16:42:39.876531,0.0151,-0.0138,0.4375,0.4736,0,0,44.9,116,CENTER
2025-12-12T16:42:39.967675,0.0188,-0.0172,0.4444,0.4841,0,0,45.1,116,CENTER
2025-12-12T16:42:44.985797,0.0027,-0.0162,0.4692,0.4839,0,0,45.4,116,CENTER
2025-12-12T16:42:45.080827,0.0030,-0.0138,0.4690,0.4731,0,0,45.0,116,CENTER
2025-12-12T16:42:45.169542,-0.0014,-0.0150,0.4694,0.4639,0,0,44.8,116,CENTER
2025-12-12T16:42:45.233578,-0.0033,-0.0119,0.4692,0.4759,0,0,44.9,116,CENTER
2025-12-12T16:42:45.336670,0.0016,-0.0182,0.4747,0.4767,0,0,45.1,116,CENTER
2025-12-12T16:42:45.428634,0.0033,-0.0141,0.4684,0.4748,0,0,44.9,116,CENTER
2025-12-12T16:42:45.500986,0.0022,-0.0101,0.4683,0.4664,0,0,45.1,116,CENTER
2025-12-12T16:42:45.587275,0.0009,-0.0093,0.4533,0.4543,0,0,44.8,116,CENTER
2025-12-12T16:42:45.684742,0.0072,-0.0191,0.4560,0.4949,0,0,45.7,116,CENTER
2025-12-12T16:42:45.753656,0.0118,-0.0079,0.4614,0.4520,0,0,45.3,116,CENTER
2025-12-12T16:42:45.865191,0.0123,-0.0054,0.4619,0.4452,0,0,45.3,116,CENTER
2025-12-12T16:42:45.932619,0.0219,-0.0026,0.4656,0.4519,0,0,45.5,116,CENTER
2025-12-12T16:42:46.034185,0.0190,-0.0081,0.4608,0.4395,0,0,44.6,116,CENTER
2025-12-12T16:42:46.105569,0.0202,-0.0046,0.4645,0.4584,0,0,45.2,116,CENTER
2025-12-12T16:42:46.190772,0.0225,-0.0023,0.4696,0.4684,0,0,45.4,116,CENTER
2025-12-12T16:42:46.288851,0.0219,-0.0035,0.4681,0.4582,0,0,45.3,116,CENTER
2025-12-12T16:42:46.378157,0.0156,-0.0054,0.4704,0.4601,0,0,45.2,116,CENTER
2025-12-12T16:42:46.455556,0.0123,-0.0139,0.4648,0.4823,0,0,45.3,116,CENTER
2025-12-12T16:42:46.535292,0.0093,-0.0149,0.4668,0.4653,0,0,45.1,116,CENTER
2025-12-12T16:42:46.635025,0.0209,-0.0210,0.4722,0.4815,0,0,45.4,116,CENTER
2025-12-12T16:42:46.732199,0.0230,-0.0133,0.4697,0.4630,0,0,45.0,116,CENTER
2025-12-12T16:42:46.807109,0.0220,-0.0114,0.4544,0.4530,0,0,44.4,116,CENTER
2025-12-12T16:42:46.892885,0.0277,-0.0154,0.4657,0.4710,0,0,45.3,116,CENTER
2025-12-12T16:42:46.983339,0.0266,-0.0139,0.4731,0.4647,0,0,45.3,116,CENTER
2025-12-12T16:42:47.052952,0.0277,-0.0100,0.4696,0.4542,0,0,44.9,116,CENTER
2025-12-12T16:42:47.165104,0.0223,-0.0048,0.4606,0.4603,0,0,45.1,116,CENTER
2025-12-12T16:42:47.236604,0.0211,-0.0067,0.4611,0.4599,0,0,45.4,116,CENTER
2025-12-12T16:42:47.332202,0.0189,-0.0095,0.4563,0.4720,0,0,45.4,116,CENTER
2025-12-12T16:42:47.396802,0.0176,-0.0077,0.4600,0.4703,0,0,45.3,116,CENTER
2025-12-12T16:42:47.507988,0.0148,-0.0086,0.4527,0.4626,0,0,44.6,116,CENTER
